Date,Open,High,Low,Close,Adj Close,Volume
14-07-2021,2638.030,2659.92,2637.96,2641.65,2641.65,895600.00
15-07-2021,2650.000,2651.90,2611.96,2625.33,2625.33,829300.00
16-07-2021,2632.820,2643.66,2616.43,2636.91,2636.91,742800.00
19-07-2021,2623.110,2624.94,2570.74,2585.08,2585.08,1285500.00
20-07-2021,2600.080,2640.03,2583.77,2622.03,2622.03,954200.00
21-07-2021,2615.740,2652.34,2612.03,2652.01,2652.01,737100.00
22-07-2021,2653.000,2670.09,2648.00,2666.57,2666.57,680400.00
23-07-2021,2705.200,2776.17,2694.01,2756.32,2756.32,1318900.00
26-07-2021,2765.000,2794.26,2753.02,2792.89,2792.89,1152600.00
27-07-2021,2800.220,2800.22,2702.00,2735.93,2735.93,2108200.00
28-07-2021,2771.240,2793.52,2727.00,2727.63,2727.63,2734400.00
29-07-2021,2727.612,2743.03,2722.76,2730.81,2730.81,964200.00
30-07-2021,2710.220,2715.43,2696.28,2704.42,2704.42,1197700.00
02-08-2021,2709.690,2720.41,2693.39,2719.79,2719.79,1007000.00
03-08-2021,2720.000,2726.71,2683.67,2725.60,2725.60,953200.00
04-08-2021,2724.990,2730.76,2708.30,2720.57,2720.57,826400.00
05-08-2021,2720.570,2739.00,2712.00,2738.80,2738.80,593300.00
06-08-2021,2725.900,2741.60,2720.93,2740.72,2740.72,678000.00
09-08-2021,2738.980,2766.43,2728.57,2760.04,2760.04,618700.00
10-08-2021,2761.590,2771.03,2744.53,2761.93,2761.93,801700.00
11-08-2021,2765.660,2776.96,2747.00,2753.79,2753.79,760200.00
12-08-2021,2754.260,2768.36,2735.58,2767.79,2767.79,732300.00
13-08-2021,2767.150,2773.48,2760.10,2768.12,2768.12,629000.00
16-08-2021,2760.000,2779.81,2723.31,2778.32,2778.32,902000.00
17-08-2021,2763.820,2774.37,2735.75,2746.01,2746.01,1063600.00
18-08-2021,2742.310,2765.88,2728.42,2731.40,2731.40,746700.00
19-08-2021,2709.350,2749.04,2707.12,2738.27,2738.27,914800.00
20-08-2021,2741.660,2772.29,2729.34,2768.74,2768.74,778200.00
23-08-2021,2779.970,2843.54,2774.96,2821.99,2821.99,1054500.00
24-08-2021,2830.870,2860.15,2827.07,2847.97,2847.97,756300.00
25-08-2021,2857.660,2866.26,2848.79,2859.00,2859.00,641900.00
26-08-2021,2852.370,2862.70,2841.83,2842.46,2842.46,746100.00
27-08-2021,2842.250,2900.22,2840.40,2891.01,2891.01,1228100.00
30-08-2021,2894.090,2929.79,2892.00,2909.39,2909.39,845800.00
31-08-2021,2917.690,2922.24,2900.00,2909.24,2909.24,1337800.00
01-09-2021,2913.000,2936.41,2912.29,2916.84,2916.84,791200.00
02-09-2021,2918.990,2926.50,2882.13,2884.38,2884.38,1092200.00
03-09-2021,2882.920,2907.54,2870.10,2895.50,2895.50,955200.00
07-09-2021,2894.990,2916.48,2890.82,2910.38,2910.38,758500.00
08-09-2021,2907.870,2911.02,2884.00,2897.67,2897.67,774300.00
09-09-2021,2897.670,2913.39,2888.68,2898.27,2898.27,739900.00
10-09-2021,2908.870,2920.38,2834.83,2838.42,2838.42,1644800.00
13-09-2021,2864.020,2883.82,2845.65,2869.30,2869.30,1008800.00
14-09-2021,2883.220,2894.55,2858.11,2868.12,2868.12,945800.00
15-09-2021,2875.180,2911.63,2845.12,2904.12,2904.12,1032400.00
16-09-2021,2902.420,2904.00,2868.33,2887.47,2887.47,1014600.00
17-09-2021,2875.970,2884.99,2821.23,2829.27,2829.27,3002000.00
20-09-2021,2780.004,2787.25,2741.06,2780.34,2780.34,1745900.00
21-09-2021,2802.340,2816.23,2778.11,2792.93,2792.93,906500.00
22-09-2021,2801.010,2831.67,2789.44,2818.77,2818.77,1103400.00
23-09-2021,2832.190,2845.05,2821.93,2836.53,2836.53,863600.00
24-09-2021,2818.920,2858.07,2817.01,2852.66,2852.66,747500.00
27-09-2021,2831.710,2850.00,2810.00,2830.02,2830.02,942200.00
28-09-2021,2781.770,2792.13,2714.00,2723.68,2723.68,2109500.00
29-09-2021,2742.194,2747.97,2685.00,2690.42,2690.42,1316900.00
30-09-2021,2686.500,2711.80,2660.00,2665.31,2665.31,1764700.00
01-10-2021,2671.090,2741.42,2667.55,2729.25,2729.25,1419400.00
04-10-2021,2713.990,2714.00,2623.33,2675.30,2675.30,1576500.00
05-10-2021,2680.000,2747.24,2680.00,2723.54,2723.54,1206300.00
06-10-2021,2692.510,2757.04,2689.73,2747.08,2747.08,988200.00
07-10-2021,2777.260,2803.09,2771.26,2783.71,2783.71,912500.00
08-10-2021,2798.120,2806.34,2788.59,2801.12,2801.12,946200.00
11-10-2021,2796.000,2815.27,2776.13,2776.95,2776.95,829200.00
12-10-2021,2792.750,2793.90,2725.00,2734.26,2734.26,1126800.00
13-10-2021,2755.000,2771.00,2739.53,2758.00,2758.00,819000.00
14-10-2021,2799.040,2833.03,2786.78,2828.24,2828.24,1071300.00
15-10-2021,2844.000,2844.00,2821.29,2833.50,2833.50,1062500.00
18-10-2021,2824.270,2859.98,2824.27,2859.21,2859.21,828200.00
