Date,Volume
14-07-2021,895600
15-07-2021,829300
16-07-2021,742800
19-07-2021,1285500
20-07-2021,954200
21-07-2021,737100
22-07-2021,680400
23-07-2021,1318900
26-07-2021,1152600
27-07-2021,2108200
28-07-2021,2734400
29-07-2021,964200
30-07-2021,1197700
02-08-2021,1007000
03-08-2021,953200
04-08-2021,826400
05-08-2021,593300
06-08-2021,678000
09-08-2021,618700
10-08-2021,801700
11-08-2021,760200
12-08-2021,732300
13-08-2021,629000
16-08-2021,902000
17-08-2021,1063600
18-08-2021,746700
19-08-2021,914800
20-08-2021,778200
23-08-2021,1054500
24-08-2021,756300
25-08-2021,641900
26-08-2021,746100
27-08-2021,1228100
30-08-2021,845800
31-08-2021,1337800
01-09-2021,791200
02-09-2021,1092200
03-09-2021,955200
07-09-2021,758500
08-09-2021,774300
09-09-2021,739900
10-09-2021,1644800
13-09-2021,1008800
14-09-2021,945800
15-09-2021,1032400
16-09-2021,1014600
17-09-2021,3002000
20-09-2021,1745900
21-09-2021,906500
22-09-2021,1103400
23-09-2021,863600
24-09-2021,747500
27-09-2021,942200
28-09-2021,2109500
29-09-2021,1316900
30-09-2021,1764700
01-10-2021,1419400
04-10-2021,1576500
05-10-2021,1206300
06-10-2021,988200
07-10-2021,912500
08-10-2021,946200
11-10-2021,829200
12-10-2021,1126800
13-10-2021,819000
14-10-2021,1071300
15-10-2021,1062500
18-10-2021,828200
19-10-2021,765800
20-10-2021,897000
21-10-2021,742500
22-10-2021,1509100
25-10-2021,1054100
26-10-2021,1412900
27-10-2021,2592500
28-10-2021,1620900
29-10-2021,1447700
01-11-2021,1613600
02-11-2021,1057500
03-11-2021,894300
04-11-2021,1235000
05-11-2021,1020400
08-11-2021,919400
09-11-2021,843800
10-11-2021,1135400
11-11-2021,623200
12-11-2021,852400
15-11-2021,812400
16-11-2021,862700
17-11-2021,764500
18-11-2021,1332900
19-11-2021,988300
22-11-2021,1230400
23-11-2021,906300
24-11-2021,823200
26-11-2021,849600
29-11-2021,1313800
30-11-2021,2079500
01-12-2021,1423800
02-12-2021,1062500
03-12-2021,1334400
06-12-2021,1109900
07-12-2021,1162900
08-12-2021,948200
09-12-2021,929000
10-12-2021,1081700
13-12-2021,1205200
14-12-2021,1238900
15-12-2021,1364000
16-12-2021,1370000
17-12-2021,2170200
20-12-2021,1013200
21-12-2021,977400
22-12-2021,921900
23-12-2021,690900
27-12-2021,662800
28-12-2021,931200
29-12-2021,851100
30-12-2021,648900
31-12-2021,864900
03-01-2022,1260700
04-01-2022,1146400
05-01-2022,2482100
06-01-2022,1452500
07-01-2022,970400
10-01-2022,1704800
11-01-2022,1175100
12-01-2022,1182100
13-01-2022,1328300
14-01-2022,1191300
18-01-2022,1369100
19-01-2022,1039800
20-01-2022,1096500
21-01-2022,2096000
24-01-2022,2757400
25-01-2022,1800400
26-01-2022,1981500
27-01-2022,1512400
28-01-2022,1525900
31-01-2022,1702800
01-02-2022,2560200
02-02-2022,4487500
03-02-2022,2846500
04-02-2022,2461200
07-02-2022,2230500
08-02-2022,1712800
09-02-2022,1431400
10-02-2022,1650900
11-02-2022,1940400
14-02-2022,1339600
15-02-2022,1328900
16-02-2022,1280500
17-02-2022,1548400
18-02-2022,1592900
22-02-2022,1945300
23-02-2022,1321600
24-02-2022,2158300
25-02-2022,1311800
28-02-2022,1483800
01-03-2022,1232000
02-03-2022,1198300
03-03-2022,989000
04-03-2022,1222300
07-03-2022,1958900
08-03-2022,1762500
09-03-2022,1612900
10-03-2022,1213300
11-03-2022,1330000
14-03-2022,1512700
15-03-2022,1514600
16-03-2022,1602900
17-03-2022,1199700
18-03-2022,2295000
21-03-2022,1331600
22-03-2022,1488800
23-03-2022,1265100
24-03-2022,1027200
25-03-2022,963500
28-03-2022,1188700
29-03-2022,1433900
30-03-2022,1052300
31-03-2022,1475800
01-04-2022,1174000
04-04-2022,953800
05-04-2022,962800
06-04-2022,1178700
07-04-2022,972400
08-04-2022,821700
11-04-2022,1209400
12-04-2022,1150200
13-04-2022,977100
14-04-2022,1174200
18-04-2022,745900
19-04-2022,1136000
20-04-2022,1130500
21-04-2022,1507900
22-04-2022,2320500
25-04-2022,1726100
26-04-2022,2469700
27-04-2022,3111900
28-04-2022,1839500
29-04-2022,1684700
02-05-2022,1514000
03-05-2022,1060800
04-05-2022,1661600
05-05-2022,2154500
06-05-2022,1765500
09-05-2022,1726000
10-05-2022,1557900
11-05-2022,1825100
12-05-2022,2073200
13-05-2022,1486900
16-05-2022,1164100
17-05-2022,1078800
18-05-2022,1399100
19-05-2022,1459600
20-05-2022,1879300
23-05-2022,1577900
24-05-2022,3019300
25-05-2022,1895000
26-05-2022,1514400
27-05-2022,1496200
31-05-2022,2565100
01-06-2022,1431500
02-06-2022,1373600
03-06-2022,1252600
06-06-2022,1189300
07-06-2022,1320700
08-06-2022,1127200
09-06-2022,1157100
10-06-2022,1566200
13-06-2022,1837800
14-06-2022,1274000
15-06-2022,1659600
16-06-2022,1765700
17-06-2022,2163500
21-06-2022,1950500
22-06-2022,1196100
23-06-2022,1235500
24-06-2022,1954700
27-06-2022,1642000
28-06-2022,1411600
29-06-2022,931400
30-06-2022,1902300
01-07-2022,1550600
05-07-2022,1819900
06-07-2022,1442600
07-07-2022,1609200
08-07-2022,1453200
11-07-2022,1335900
12-07-2022,1248500
13-07-2022,1943400
